ticid,periods
267215820,9.418583002
267263253,9.420141522
267570317,7.508427145
267572272,0.217795917
267572272,0.217577292
267572272,0.217709306
267572272,0.217522494
267572272,0.217648908
267572272,0.217718693
267572272,0.21764982
267572272,0.217634747
267572272,0.21782515
267572272,0.217809719
267673944,8.502756912
267746941,4.319830523
267748934,4.789175881
267748934,4.645405241
267748934,4.541394781
267749737,10.77654335
268301217,6.854363259
268379849,7.539628167
268379849,7.402039902
268403451,9.76304389
269263577,12.42237161
269271535,7.992301115
270611401,10.52807336
270699185,0.907693688
270701667,5.538681926
270701667,6.117209073
270701667,6.141398061
270701667,11.43539218
270701667,5.754414971
270704515,9.763058632
270779644,6.117209197
270779644,6.141390411
270779644,6.23255345
270779644,6.444564696
270956861,9.763051984
270956861,9.94566751
270956861,9.082923531
271052158,11.31264561
271169413,8.27773126
271261159,4.656132193
271478281,12.04395962
271546798,6.444581467
271546798,6.022536436
271774166,0.199981644
272269239,0.165530029
272269239,0.165677467
272269239,0.165669228
272269239,0.165653102
272269239,0.165641676
272269239,0.16563416
272269239,0.165622394
272282253,10.61809898
272369124,8.973892066
272489533,9.070502996
272601375,4.959349333
272601590,3.452240456
272707494,9.748057388
272716728,6.146995085
272716728,5.754423564
272944301,0.709378075
272944301,0.708429283
273131021,0.056824077
273131021,0.056832196
273379660,0.592547426
273379660,0.591691402
273690421,4.488785257
273874849,2.032987945
273874849,2.034867692
274198407,7.149225661
279741379,8.729041782
279741379,8.400414863
279741379,7.960486171
279741379,8.213527477
279741379,8.662927383
279917005,1.438052113
279917005,1.450599574
279917005,1.448324379
279917005,1.448209007
279917005,1.448019298
279917005,1.440721462
279917005,1.443718493
279917005,1.452363225
279917005,1.444859982
279917996,8.470319674
279947414,5.432424944
280304863,10.70638466
280437559,11.08875022
281408474,9.15136564
281459670,7.027351502
281837575,6.236979696
283722336,6.617600377
284326455,7.491995217
284441182,11.20661245
286923464,6.188398295
287080092,5.842460021
288631580,7.896685863
288631580,7.129539853
288631580,7.095510895
288631580,7.142036954
288631580,7.243053476
288631580,7.729801179
288631580,7.261691157
288631580,14.91293651
288631580,6.762624634
288735205,7.798380569
289164482,7.221724348
289164482,13.5103738
289164482,6.786001826
289793076,4.421013774
290034635,12.46130723
290348383,11.74173832
290348383,12.07182541
292202337,9.690119399
293375721,7.879791489
293435336,9.607000314
293457754,6.719809183
293607057,4.505248088
293954617,9.79040292
293954617,10.61814624
293954617,9.978563463
293954617,9.945605412
297146957,6.268068467
297373047,13.38759319
298663873,4.788092973
298892283,5.372930684
299032517,4.789170097
299033164,0.187941858
299087490,10.53328187
299087490,9.601213127
299089652,10.03564556
299158887,5.43247272
299158887,5.862835557
299158887,5.393878145
299158887,5.373577012
299158887,5.340423036
299158887,5.478341704
299158887,5.200478306
299158887,5.410916524
299158887,5.788541368
299158887,5.373209668
299158887,5.372934526
299158887,5.399314532
299158887,5.399040376
299158887,5.284243932
299158887,5.509168538
299217986,8.544045858
299219860,8.937375724
299798795,1.233963551
299798795,1.224550239
299798795,1.229399918
299798795,1.22521169
299798795,1.233352225
299798795,1.233488096
299798795,1.237069197
299798795,1.2363572
299798795,1.235161451
299798795,1.234928883
299798795,1.225407325
299798795,1.225342223
299798795,1.235260897
299798795,1.235249701
299798795,1.22874546
299798795,1.228666162
299799658,8.64536327
300038935,8.256361098
300812741,9.753232156
300812741,11.25661542
300812741,11.27386361
300812741,10.5317416
300812741,10.94461102
300812741,11.2767402
300812741,10.42178646
300812741,10.10895097
300812741,10.88802139
300812741,10.91012357
300812741,10.86604464
300812741,10.81909508
301235044,6.921331162
301235044,7.084918264
301235044,7.084523416
301258470,10.15738419
301289516,12.05282761
305243225,7.539952861
305243225,7.135486032
306955329,0.189746745
306955329,0.189863943
306955329,0.189777505
306996324,11.00981393
306996324,10.75448801
307210830,11.1442885
307733361,4.148125152
307733361,4.502565476
307733361,4.385316684
307733361,4.525628302
307733361,4.525385776
308172249,10.20042865
309792357,11.17921522
309792357,11.51195993
309792357,13.38164592
309792357,11.29150277
309792357,12.27598199
309792357,11.26661349
309792357,12.3515618
309792357,12.17412963
309792357,13.29354331
309792357,11.32088808
310002617,10.74222794
